============================================================
[START] 2026-03-19 13:52:40 worker=4 gpu=5 cfg=config/base_hpo3_reconst_13.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=5
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_13.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D256_BP3_50
[INFO] model params: 21,916,865
[Epoch 001/150] loss=8.508045 | best=8.508045 (epoch 1) | time=39.4s
[Epoch 002/150] loss=4.478371 | best=4.478371 (epoch 2) | time=41.0s
[Epoch 003/150] loss=3.397718 | best=3.397718 (epoch 3) | time=40.6s
[Epoch 004/150] loss=2.549555 | best=2.549555 (epoch 4) | time=41.5s
[Epoch 005/150] loss=1.791769 | best=1.791769 (epoch 5) | time=39.1s
[Epoch 006/150] loss=1.290572 | best=1.290572 (epoch 6) | time=40.9s
[Epoch 007/150] loss=1.007815 | best=1.007815 (epoch 7) | time=42.5s
[Epoch 008/150] loss=0.861526 | best=0.861526 (epoch 8) | time=46.9s
[Epoch 009/150] loss=0.755795 | best=0.755795 (epoch 9) | time=44.6s
[Epoch 010/150] loss=0.673059 | best=0.673059 (epoch 10) | time=40.7s
[Epoch 011/150] loss=0.630319 | best=0.630319 (epoch 11) | time=52.3s
[Epoch 012/150] loss=0.579872 | best=0.579872 (epoch 12) | time=39.5s
[Epoch 013/150] loss=0.537282 | best=0.537282 (epoch 13) | time=38.8s
[Epoch 014/150] loss=0.502786 | best=0.502786 (epoch 14) | time=39.6s
[Epoch 015/150] loss=0.485832 | best=0.485832 (epoch 15) | time=56.8s
[Epoch 016/150] loss=0.471859 | best=0.471859 (epoch 16) | time=52.7s
[Epoch 017/150] loss=0.458120 | best=0.458120 (epoch 17) | time=49.6s
[Epoch 018/150] loss=0.442313 | best=0.442313 (epoch 18) | time=55.7s
[Epoch 019/150] loss=0.441595 | best=0.441595 (epoch 19) | time=42.2s
[Epoch 020/150] loss=0.432415 | best=0.432415 (epoch 20) | time=45.2s
[Epoch 021/150] loss=0.424982 | best=0.424982 (epoch 21) | time=45.6s
[Epoch 022/150] loss=0.405094 | best=0.405094 (epoch 22) | time=38.9s
[Epoch 023/150] loss=0.397079 | best=0.397079 (epoch 23) | time=38.6s
[Epoch 024/150] loss=0.383931 | best=0.383931 (epoch 24) | time=45.9s
[Epoch 025/150] loss=0.376375 | best=0.376375 (epoch 25) | time=46.0s
[Epoch 026/150] loss=0.360746 | best=0.360746 (epoch 26) | time=52.2s
[Epoch 027/150] loss=0.348051 | best=0.348051 (epoch 27) | time=39.8s
[Epoch 028/150] loss=0.310590 | best=0.310590 (epoch 28) | time=43.4s
[Epoch 029/150] loss=0.289113 | best=0.289113 (epoch 29) | time=39.8s
[Epoch 030/150] loss=0.287072 | best=0.287072 (epoch 30) | time=185.9s
[Epoch 031/150] loss=0.274666 | best=0.274666 (epoch 31) | time=129.3s
[Epoch 032/150] loss=0.248059 | best=0.248059 (epoch 32) | time=53.2s
[Epoch 033/150] loss=0.226384 | best=0.226384 (epoch 33) | time=67.5s
[Epoch 034/150] loss=0.212755 | best=0.212755 (epoch 34) | time=83.4s
[Epoch 035/150] loss=0.205532 | best=0.205532 (epoch 35) | time=43.4s
[Epoch 036/150] loss=0.194512 | best=0.194512 (epoch 36) | time=41.4s
[Epoch 037/150] loss=0.193083 | best=0.193083 (epoch 37) | time=45.6s
[Epoch 038/150] loss=0.195374 | best=0.193083 (epoch 37) | time=41.4s
[Epoch 039/150] loss=0.183402 | best=0.183402 (epoch 39) | time=41.8s
[Epoch 040/150] loss=0.179072 | best=0.179072 (epoch 40) | time=62.2s
