============================================================
[FINETUNE START] 2026-03-20 20:33:29 gpu=4
CUDA_VISIBLE_DEVICES=4
base_cfg=config/base_reconst_L7_D512_BP5_60.yaml
train_cfg=config/train_stage2_unfreeze_lr3e-04_aw0p10.yaml
exp_suffix=train_stage2_unfreeze_lr3e-04_aw0p10
============================================================
/home/ted1204/MS_Detection/src/training/trainer_finetune.py:189: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  ckpt = torch.load(encoder_ckpt_path, map_location="cpu")
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] save_dir: runs/hpo_stage2_reconst/finetune/pohang_hpo3_reconst_L7_D512_BP5_60__train_stage2_unfreeze_lr3e-04_aw0p10
[INFO] model params: 26,218,209
[DEBUG] pretrained_encoder_path = runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L7_D512_BP5_60/best_encoder.pt
[INFO] loaded encoder weights from: runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L7_D512_BP5_60/best_encoder.pt
[INFO] encoder load missing keys   : 0
[INFO] encoder load unexpected keys: 0
[INFO] center_c shape: (512,)
[Epoch 001/150] train_loss=4.719001 | val_loss=3.780438 | val_acc=0.5709 | best_metric=0.5709 (epoch 1) | time=10.8s
[Epoch 002/150] train_loss=0.875251 | val_loss=1.006069 | val_acc=0.5882 | best_metric=0.5882 (epoch 2) | time=23.5s
[Epoch 003/150] train_loss=0.695120 | val_loss=1.028087 | val_acc=0.5744 | best_metric=0.5882 (epoch 2) | time=12.6s
[Epoch 004/150] train_loss=0.647972 | val_loss=0.743681 | val_acc=0.7751 | best_metric=0.7751 (epoch 4) | time=16.6s
[Epoch 005/150] train_loss=0.603266 | val_loss=1.408877 | val_acc=0.7301 | best_metric=0.7751 (epoch 4) | time=16.4s
[Epoch 006/150] train_loss=0.568355 | val_loss=0.530025 | val_acc=0.8789 | best_metric=0.8789 (epoch 6) | time=19.6s
[Epoch 007/150] train_loss=0.689178 | val_loss=0.890382 | val_acc=0.8997 | best_metric=0.8997 (epoch 7) | time=15.8s
[Epoch 008/150] train_loss=0.538701 | val_loss=0.468357 | val_acc=0.8754 | best_metric=0.8997 (epoch 7) | time=12.2s
[Epoch 009/150] train_loss=0.496337 | val_loss=0.759793 | val_acc=0.8201 | best_metric=0.8997 (epoch 7) | time=12.0s
[Epoch 010/150] train_loss=0.319657 | val_loss=0.444815 | val_acc=0.9239 | best_metric=0.9239 (epoch 10) | time=16.1s
[Epoch 011/150] train_loss=0.292316 | val_loss=0.463831 | val_acc=0.9273 | best_metric=0.9273 (epoch 11) | time=21.3s
[Epoch 012/150] train_loss=0.526279 | val_loss=0.441972 | val_acc=0.9273 | best_metric=0.9273 (epoch 11) | time=17.3s
[Epoch 013/150] train_loss=0.318034 | val_loss=0.588026 | val_acc=0.9031 | best_metric=0.9273 (epoch 11) | time=15.4s
[Epoch 014/150] train_loss=0.408690 | val_loss=0.493234 | val_acc=0.9343 | best_metric=0.9343 (epoch 14) | time=20.6s
