============================================================
[PRETRAIN START] 2026-03-20 18:11:47 gpu=1
CUDA_VISIBLE_DEVICES=1
base_cfg=config/base_reconst_L7_D512_BP3_50.yaml
stage_cfg=config/pretrain_reconst.yaml
============================================================
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L7_D512_BP3_50
[INFO] model params: 87,723,457
[Epoch 001/150] loss=10.057949 | best=10.057949 (epoch 1) | time=64.4s
[Epoch 002/150] loss=4.915394 | best=4.915394 (epoch 2) | time=69.0s
[Epoch 003/150] loss=4.914966 | best=4.914966 (epoch 3) | time=67.6s
[Epoch 004/150] loss=4.916966 | best=4.914966 (epoch 3) | time=53.1s
[Epoch 005/150] loss=4.914100 | best=4.914100 (epoch 5) | time=67.4s
[Epoch 006/150] loss=4.913727 | best=4.913727 (epoch 6) | time=65.1s
[Epoch 007/150] loss=4.916161 | best=4.913727 (epoch 6) | time=52.1s
[Epoch 008/150] loss=4.913928 | best=4.913727 (epoch 6) | time=52.4s
[Epoch 009/150] loss=4.861195 | best=4.861195 (epoch 9) | time=60.9s
[Epoch 010/150] loss=4.406306 | best=4.406306 (epoch 10) | time=60.1s
[Epoch 011/150] loss=3.661913 | best=3.661913 (epoch 11) | time=52.3s
[Epoch 012/150] loss=3.169466 | best=3.169466 (epoch 12) | time=51.8s
[Epoch 013/150] loss=2.878591 | best=2.878591 (epoch 13) | time=51.5s
[Epoch 014/150] loss=2.767403 | best=2.767403 (epoch 14) | time=52.1s
[Epoch 015/150] loss=2.591110 | best=2.591110 (epoch 15) | time=59.8s
[Epoch 016/150] loss=2.265355 | best=2.265355 (epoch 16) | time=60.0s
[Epoch 017/150] loss=1.943288 | best=1.943288 (epoch 17) | time=52.4s
[Epoch 018/150] loss=1.777070 | best=1.777070 (epoch 18) | time=51.9s
[Epoch 019/150] loss=1.661755 | best=1.661755 (epoch 19) | time=53.2s
[Epoch 020/150] loss=1.476007 | best=1.476007 (epoch 20) | time=53.5s
[Epoch 021/150] loss=1.319653 | best=1.319653 (epoch 21) | time=52.3s
[Epoch 022/150] loss=1.194418 | best=1.194418 (epoch 22) | time=61.4s
[Epoch 023/150] loss=1.111300 | best=1.111300 (epoch 23) | time=61.3s
[Epoch 024/150] loss=1.021836 | best=1.021836 (epoch 24) | time=53.1s
[Epoch 025/150] loss=0.973368 | best=0.973368 (epoch 25) | time=53.1s
[Epoch 026/150] loss=0.934307 | best=0.934307 (epoch 26) | time=53.2s
[Epoch 027/150] loss=0.881077 | best=0.881077 (epoch 27) | time=52.1s
[Epoch 028/150] loss=0.839060 | best=0.839060 (epoch 28) | time=53.5s
[Epoch 029/150] loss=0.817098 | best=0.817098 (epoch 29) | time=53.1s
[Epoch 030/150] loss=0.795836 | best=0.795836 (epoch 30) | time=53.4s
[Epoch 031/150] loss=0.765130 | best=0.765130 (epoch 31) | time=54.0s
[Epoch 032/150] loss=0.751799 | best=0.751799 (epoch 32) | time=54.2s
[Epoch 033/150] loss=0.731842 | best=0.731842 (epoch 33) | time=54.1s
[Epoch 034/150] loss=0.697661 | best=0.697661 (epoch 34) | time=53.0s
[Epoch 035/150] loss=0.685273 | best=0.685273 (epoch 35) | time=53.2s
[Epoch 036/150] loss=0.664296 | best=0.664296 (epoch 36) | time=53.3s
[Epoch 037/150] loss=0.646097 | best=0.646097 (epoch 37) | time=53.0s
[Epoch 038/150] loss=0.636266 | best=0.636266 (epoch 38) | time=53.3s
[Epoch 039/150] loss=0.615436 | best=0.615436 (epoch 39) | time=52.9s
[Epoch 040/150] loss=0.607274 | best=0.607274 (epoch 40) | time=53.5s
[Epoch 041/150] loss=0.598852 | best=0.598852 (epoch 41) | time=53.4s
[Epoch 042/150] loss=0.584613 | best=0.584613 (epoch 42) | time=53.0s
[Epoch 043/150] loss=0.583341 | best=0.583341 (epoch 43) | time=52.4s
[Epoch 044/150] loss=0.575615 | best=0.575615 (epoch 44) | time=52.1s
[Epoch 045/150] loss=0.563131 | best=0.563131 (epoch 45) | time=52.4s
[Epoch 046/150] loss=0.554970 | best=0.554970 (epoch 46) | time=52.1s
[Epoch 047/150] loss=0.543250 | best=0.543250 (epoch 47) | time=51.8s
[Epoch 048/150] loss=0.527371 | best=0.527371 (epoch 48) | time=52.8s
[Epoch 049/150] loss=0.533053 | best=0.527371 (epoch 48) | time=45.9s
