============================================================
[START] 2026-03-20 15:34:37 worker=4 gpu=4
CUDA_VISIBLE_DEVICES=4
base_cfg=config/base_reconst_top2.yaml
train_cfg=config/train_stage2_freeze_lr3e-04_aw0p10.yaml
exp_suffix=train_stage2_freeze_lr3e-04_aw0p10
============================================================
[SYNC] runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D512_BP3_50 -> ./runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L6_D512_BP3_50
/home/ted1204/MS_Detection/src/training/trainer_finetune.py:189: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  ckpt = torch.load(encoder_ckpt_path, map_location="cpu")
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] save_dir: runs/hpo_stage2_reconst/finetune/pohang_hpo3_reconst_L6_D512_BP3_50__train_stage2_freeze_lr3e-04_aw0p10
[INFO] model params: 513
[DEBUG] pretrained_encoder_path = runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L6_D512_BP3_50/best_encoder.pt
[INFO] loaded encoder weights from: runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L6_D512_BP3_50/best_encoder.pt
[INFO] encoder load missing keys   : 0
[INFO] encoder load unexpected keys: 0
[INFO] center_c shape: (512,)
[Epoch 001/150] train_loss=4.691268 | val_loss=3.663468 | val_acc=0.5709 | best_metric=0.5709 (epoch 1) | time=9.9s
[Epoch 002/150] train_loss=4.546597 | val_loss=3.773097 | val_acc=0.7163 | best_metric=0.7163 (epoch 2) | time=10.0s
[Epoch 003/150] train_loss=4.623119 | val_loss=3.611519 | val_acc=0.7370 | best_metric=0.7370 (epoch 3) | time=10.5s
[Epoch 004/150] train_loss=4.697600 | val_loss=3.744467 | val_acc=0.7958 | best_metric=0.7958 (epoch 4) | time=10.4s
[Epoch 005/150] train_loss=4.771562 | val_loss=3.793625 | val_acc=0.7958 | best_metric=0.7958 (epoch 4) | time=10.2s
[Epoch 006/150] train_loss=4.714908 | val_loss=3.671204 | val_acc=0.8131 | best_metric=0.8131 (epoch 6) | time=11.8s
[Epoch 007/150] train_loss=4.731341 | val_loss=3.618043 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.7s
[Epoch 008/150] train_loss=4.568791 | val_loss=3.825405 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.6s
[Epoch 009/150] train_loss=4.650382 | val_loss=3.614544 | val_acc=0.8028 | best_metric=0.8131 (epoch 6) | time=11.3s
[Epoch 010/150] train_loss=4.705132 | val_loss=3.657160 | val_acc=0.8097 | best_metric=0.8131 (epoch 6) | time=10.0s
[Epoch 011/150] train_loss=4.689593 | val_loss=3.662851 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.7s
[Epoch 012/150] train_loss=4.682611 | val_loss=3.637939 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.1s
[Epoch 013/150] train_loss=4.588035 | val_loss=3.509283 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.2s
[Epoch 014/150] train_loss=4.745712 | val_loss=3.465600 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.0s
[Epoch 015/150] train_loss=4.623618 | val_loss=3.610692 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.4s
[Epoch 016/150] train_loss=4.448707 | val_loss=3.725306 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=10.1s
[Epoch 017/150] train_loss=4.631201 | val_loss=3.683032 | val_acc=0.8062 | best_metric=0.8131 (epoch 6) | time=12.4s
[Epoch 018/150] train_loss=4.712951 | val_loss=3.667547 | val_acc=0.7924 | best_metric=0.8131 (epoch 6) | time=12.3s
[Epoch 019/150] train_loss=4.824721 | val_loss=3.414297 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=9.9s
[Epoch 020/150] train_loss=4.658237 | val_loss=3.765028 | val_acc=0.8028 | best_metric=0.8131 (epoch 6) | time=10.3s
[Epoch 021/150] train_loss=4.690327 | val_loss=3.582225 | val_acc=0.8028 | best_metric=0.8131 (epoch 6) | time=11.0s
[Epoch 022/150] train_loss=4.628142 | val_loss=3.471568 | val_acc=0.8131 | best_metric=0.8131 (epoch 6) | time=16.9s
[Epoch 023/150] train_loss=4.728597 | val_loss=3.515191 | val_acc=0.8028 | best_metric=0.8131 (epoch 6) | time=33.0s
[Epoch 024/150] train_loss=4.778696 | val_loss=3.624201 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=28.3s
[Epoch 025/150] train_loss=4.572282 | val_loss=3.661073 | val_acc=0.7855 | best_metric=0.8131 (epoch 6) | time=27.5s
[Epoch 026/150] train_loss=4.700468 | val_loss=3.624660 | val_acc=0.7924 | best_metric=0.8131 (epoch 6) | time=16.5s
[Epoch 027/150] train_loss=4.596923 | val_loss=3.597473 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=23.9s
[Epoch 028/150] train_loss=4.522162 | val_loss=3.628199 | val_acc=0.7958 | best_metric=0.8131 (epoch 6) | time=13.4s
[Epoch 029/150] train_loss=4.619439 | val_loss=3.698448 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=19.3s
[Epoch 030/150] train_loss=4.630164 | val_loss=3.730842 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=21.9s
[Epoch 031/150] train_loss=4.668839 | val_loss=3.501300 | val_acc=0.8028 | best_metric=0.8131 (epoch 6) | time=10.4s
[Epoch 032/150] train_loss=4.571306 | val_loss=3.714267 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=18.9s
[Epoch 033/150] train_loss=4.644272 | val_loss=3.587088 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=12.8s
[Epoch 034/150] train_loss=4.647763 | val_loss=3.553718 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=12.6s
[Epoch 035/150] train_loss=4.690363 | val_loss=3.690777 | val_acc=0.7820 | best_metric=0.8131 (epoch 6) | time=13.1s
[Epoch 036/150] train_loss=4.826649 | val_loss=3.702752 | val_acc=0.7958 | best_metric=0.8131 (epoch 6) | time=12.8s
[Epoch 037/150] train_loss=4.661671 | val_loss=3.531084 | val_acc=0.7924 | best_metric=0.8131 (epoch 6) | time=16.0s
[Epoch 038/150] train_loss=4.710590 | val_loss=3.646499 | val_acc=0.7924 | best_metric=0.8131 (epoch 6) | time=13.0s
[Epoch 039/150] train_loss=4.569798 | val_loss=3.575456 | val_acc=0.7958 | best_metric=0.8131 (epoch 6) | time=15.8s
[Epoch 040/150] train_loss=4.556203 | val_loss=3.635269 | val_acc=0.7924 | best_metric=0.8131 (epoch 6) | time=15.1s
[Epoch 041/150] train_loss=4.598345 | val_loss=3.867137 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=11.9s
[Epoch 042/150] train_loss=4.543666 | val_loss=3.826925 | val_acc=0.7958 | best_metric=0.8131 (epoch 6) | time=15.7s
[Epoch 043/150] train_loss=4.523687 | val_loss=3.824388 | val_acc=0.7889 | best_metric=0.8131 (epoch 6) | time=15.2s
[Epoch 044/150] train_loss=4.604800 | val_loss=3.704180 | val_acc=0.7958 | best_metric=0.8131 (epoch 6) | time=14.6s
[Epoch 045/150] train_loss=4.579714 | val_loss=3.604403 | val_acc=0.7993 | best_metric=0.8131 (epoch 6) | time=19.1s
[Epoch 046/150] train_loss=4.712908 | val_loss=3.817383 | val_acc=0.7958 | best_metric=0.8131 (epoch 6) | time=10.8s
[Epoch 047/150] train_loss=4.545371 | val_loss=3.571839 | val_acc=0.8028 | best_metric=0.8131 (epoch 6) | time=10.0s
[Epoch 048/150] train_loss=4.590577 | val_loss=3.788464 | val_acc=0.7958 | best_metric=0.8131 (epoch 6) | time=12.1s
